ProdDescr,Q1
iBELL Premium 1.2 Litre Stainless Steel Multi Purpose Electric Kettle with Glass Lid,What is iBELL Premium 1.2 Litre Stainless Steel Multi Purpose Electric Kettle with Glass Lid?
"1.5 L Capacity|Double Layered Food Grade 304 Stainless Steel Body inside and plastic outside with Cool Touch Handle|Advanced thermostat with Boil-Dry Protection & Auto Shut Off|Big Mouth Design for Easy Cleaning|1.2 meters power cord, 1500 Watts, 220V-240 V AC, 50 Hz|2 Years Warranty",t is the capacity of this product?
"1.5 L Capacity|Double Layered Food Grade 304 Stainless Steel Body inside and plastic outside with Cool Touch Handle|Advanced thermostat with Boil-Dry Protection & Auto Shut Off|Big Mouth Design for Easy Cleaning|1.2 meters power cord, 1500 Watts, 220V-240 V AC, 50 Hz|2 Years Warranty",What is the capacity of the jug?
"1500W KENT Vogue Kettle helps you prepare hot beverages like coffee, tea, or instant soup within minutes|Its 1.8L capacity lets you serve around 5-6 people at a time with ease|With the 360° cordless rotation, pouring and serving becomes very easy. Just detach the kettle from the heating plate and pour|The inner body of the kettle is made of 304 stainless steel, known for its durability and rust-resistance|Its concealed SS heating plate ensures even heat distribution|The auto-off feature of the kettle shuts down the appliance, in case of overheating and dry-boiling",What are some of the things that the 1500W KENT Vogue Kettle can help you prepare?
"Max 3 differentiators Great Features - i)Automatic Cutoff ii) 360 Degree Swivel Base iii)Single Touch lid locking|Voltage: 230V; Wattage: 1500W. Heating Element:Yes|Warranty: 1 Year, BSNL/MTNL|i) Power - 1500 watts ii) Capacity - 1.5L iii) Material- Stainless Steel iv) Concealed Element|Troubleshooting guidelines: i)Never operate the appliance empty ii) Never lift the kettle from the base when the unit is in operation.|The large opening in the top allows easy access to the smooth, seamless Stainless Steel interior for easy cleaning of mineral deposits|Features : Power indicator light that lights up as it begins to boil water and automatic shut-off after boiling ; Its water level indicator enables you to easily measure the amount of water you need",What is the power of the appliance?
"Auto shut off function|Integrated stainless steel function. 360° Cordless Kettle|304 stainless steel interior with no plastic|Energy saving, cool touch outer body with no scalding hazard|Wide mouth for ease filling, pouring and cleanin",What is the auto shut off function on this kettle?
"Content: Prestige Electric Kettle 1.7L with concealed element and detachable power base|Net Quantity: 1 unit : Warranty: 1 year.Water Level Indicator:Yes|Specifications - power - 1500 watts , Voltage: 230V, Material- stainless steel, concealed element|Troubleshooting guidelines - Never operate the appliance empty, Never lift the kettle from the base when the unit is in operation|Specifications - power - 1500 watts, Material- stainless steel, concealed element|Great Features - Automatic cutoff, wide mouth for easy cleaning, single touch lid locking|Includes: main unit, user manual, warranty card",What is the maximum capacity of the Prestige Electric Kettle?
"1.5 L Capacity|Double Layered Food Grade 304 Stainless Steel Body inside and plastic outside with Cool Touch Handle|Advanced thermostat with Boil-Dry Protection & Auto Shut Off|Big Mouth Design for Easy Cleaning|1.2 meters power cord, 1500 Watts, 220V-240 V AC, 50 Hz|2 Years Warranty",What is the capacity of the kettle?
"1500W KENT Vogue Kettle helps you prepare hot beverages like coffee, tea, or instant soup within minutes|Its 1.8L capacity lets you serve around 5-6 people at a time with ease|With the 360° cordless rotation, pouring and serving becomes very easy. Just detach the kettle from the heating plate and pour|The inner body of the kettle is made of 304 stainless steel, known for its durability and rust-resistance|Its concealed SS heating plate ensures even heat distribution|The auto-off feature of the kettle shuts down the appliance, in case of overheating and dry-boiling",What hot beverages can you prepare with the Kent Vogue Kettle?
"1.5 L Capacity|Double Layered Food Grade 304 Stainless Steel Body inside and plastic outside with Cool Touch Handle|Advanced thermostat with Boil-Dry Protection & Auto Shut Off|Big Mouth Design for Easy Cleaning|1.2 meters power cord, 1500 Watts, 220V-240 V AC, 50 Hz|2 Years Warranty",What is the capacity of the water boiler?
"Max 3 differentiators Great Features - i)Automatic Cutoff ii) 360 Degree Swivel Base iii)Single Touch lid locking|Voltage: 230V; Wattage: 1500W. Heating Element:Yes|Warranty: 1 Year, BSNL/MTNL|i) Power - 1500 watts ii) Capacity - 1.5L iii) Material- Stainless Steel iv) Concealed Element|Troubleshooting guidelines: i)Never operate the appliance empty ii) Never lift the kettle from the base when the unit is in operation.|The large opening in the top allows easy access to the smooth, seamless Stainless Steel interior for easy cleaning of mineral deposits|Features : Power indicator light that lights up as it begins to boil water and automatic shut-off after boiling ; Its water level indicator enables you to easily measure the amount of water you need",What are three great features of the kettle?
"100% Stainless Steel Body with Strong Removable Glass Lid. The removable lid ensures easy cleaning and maximum hygiene. Capacity: 1.7 Litre, Power: 1500W, Rated Voltage: 220-240V|100% Stainless Steel Body with Strong Removable Glass Lid. The removable lid ensures easy cleaning and maximum hygiene. Capacity: 1.7 Litre, Power: 1500W, Rated Voltage: 220-240V|Automatically Power OFF against Dry Heating Accurate Temperature Controller|360 Degree Rotating Base, Elegant and easy to clean. Hygienic stainless steel body|Safety Lock Lid with High Quality Thermistor, Unique Steam Reactor Setting,Triple Safety Protection, Stainless Steel Heating Plate, Bionic Design|Warranty: 1 Year Standard Warranty + 1 Year Additional Warranty on Free Registration",What is the body material of this product?
"Content: Prestige Electric Kettle 1.7L with concealed element and detachable power base|Net Quantity: 1 unit : Warranty: 1 year.Water Level Indicator:Yes|Specifications - power - 1500 watts , Voltage: 230V, Material- stainless steel, concealed element|Troubleshooting guidelines - Never operate the appliance empty, Never lift the kettle from the base when the unit is in operation|Specifications - power - 1500 watts, Material- stainless steel, concealed element|Great Features - Automatic cutoff, wide mouth for easy cleaning, single touch lid locking|Includes: main unit, user manual, warranty card",What is the net quantity?
"Content: Prestige Electric Kettle 1.7L with concealed element and detachable power base|Net Quantity: 1 unit : Warranty: 1 year.Water Level Indicator:Yes|Specifications - power - 1500 watts , Voltage: 230V, Material- stainless steel, concealed element|Troubleshooting guidelines - Never operate the appliance empty, Never lift the kettle from the base when the unit is in operation|Specifications - power - 1500 watts, Material- stainless steel, concealed element|Great Features - Automatic cutoff, wide mouth for easy cleaning, single touch lid locking|Includes: main unit, user manual, warranty card",What is the maximum capacity of the Prestige Electric Kettle?
Supports 150Mbps Wireless data transmission rate|Fully compliant with USB v2.0 High-speed mode|Advanced Security WPA/WPA2 encryption standards|IEEE 802.11 b/g/n client|Access Point mode for Hotspot|Miniature Design,How fast is the wireless data transmission rate?
"High Speed WiFi —— Up to 600Mbps speeds with 200Mbps on 2.4GHz and 433 Mbps on 5GHz, upgrades your devices to higher AC WiFi speeds|Dual Band Wireless —— 2.4GHz and 5GHz band for flexible connectivity, upgrades your devices to work with the latest dual-band WiFi router for faster speed and extended range|Nano design —— Small, unobtrusive design allows you to plug it in and forget it is even there|Operating System —— Supports Windows 11/10/8.1/8/7/XP, Mac OS 10.15 and earlier|Advanced Security —— Supports 64/128-bit WEP, WPA/WPA2, and WPA-PSK/WPA2-PSK encryption standards|Worry-free customer support —— For other installation related query, compatibility issue or any other queries call on toll free no",What is the maximum speed of this WiFi adapter?
"High Speed WiFi —— Up to 600Mbps speeds with 200Mbps on 2.4GHz and 433 Mbps on 5GHz, upgrades your devices to higher AC WiFi speeds|Dual Band Wireless —— 2.4GHz and 5GHz band for flexible connectivity, upgrades your devices to work with the latest dual-band WiFi router for faster speed and extended range|Nano design —— Small, unobtrusive design allows you to plug it in and forget it is even there|Operating System —— Supports Windows 11/10/8.1/8/7/XP, Mac OS 10.15 and earlier|Advanced Security —— Supports 64/128-bit WEP, WPA/WPA2, and WPA-PSK/WPA2-PSK encryption standards|Worry-free customer support —— For other installation related query, compatibility issue or any other queries call on toll free no",What is the maximum speed of the WiFi?
"Ultimate Wi-Fi Speed —— AC1300 (400 Mpbs on 2.4GHz band and 867 Mbps on 5GHz band) wireless speed with the next generation Wi-Fi - 802.11ac|Dual Band Wireless —— 2.4GHz and 5GHz band for flexible connectivity|Mini design —— Mini-sized design for convenient portability with a reliable high performance|Super Speed USB 3.0 Port —— Up to 10x faster transfer speeds than USB 2.0|MU-MIMO —— Delivers highly efficient wireless connection|Supported Operating System —— Windows 11/10/8.1/8/7/XP, Mac OS 10.15 and earlier",What is the maximum wireless speed offered by the device? 
"High Speed WiFi —— Up to 600Mbps speeds with 200Mbps on 2.4GHz and 433 Mbps on 5GHz, upgrades your devices to higher AC WiFi speeds|Dual Band Wireless —— 2.4GHz and 5GHz band for flexible connectivity, upgrades your devices to work with the latest dual-band WiFi router for faster speed and extended range|Nano design —— Small, unobtrusive design allows you to plug it in and forget it is even there|Operating System —— Supports Windows 11/10/8.1/8/7/XP, Mac OS 10.15 and earlier|Advanced Security —— Supports 64/128-bit WEP, WPA/WPA2, and WPA-PSK/WPA2-PSK encryption standards|Worry-free customer support —— For other installation related query, compatibility issue or any other queries call on toll free no",What is the maximum speed of the WiFi connection?
"Ultimate Wi-Fi Speed —— AC1300 (400 Mpbs on 2.4GHz band and 867 Mbps on 5GHz band) wireless speed with the next generation Wi-Fi - 802.11ac|Dual Band Wireless —— 2.4GHz and 5GHz band for flexible connectivity|Mini design —— Mini-sized design for convenient portability with a reliable high performance|Super Speed USB 3.0 Port —— Up to 10x faster transfer speeds than USB 2.0|MU-MIMO —— Delivers highly efficient wireless connection|Supported Operating System —— Windows 11/10/8.1/8/7/XP, Mac OS 10.15 and earlier",What is the maximum wireless speed of the device? 
"Ultimate Wi-Fi Speed —— AC1300 (400 Mpbs on 2.4GHz band and 867 Mbps on 5GHz band) wireless speed with the next generation Wi-Fi - 802.11ac|Dual Band Wireless —— 2.4GHz and 5GHz band for flexible connectivity|Mini design —— Mini-sized design for convenient portability with a reliable high performance|Super Speed USB 3.0 Port —— Up to 10x faster transfer speeds than USB 2.0|MU-MIMO —— Delivers highly efficient wireless connection|Supported Operating System —— Windows 11/10/8.1/8/7/XP, Mac OS 10.15 and earlier",What is the maximum wireless speed possible with this device?
"High Speed WiFi —— Up to 600Mbps speeds with 200Mbps on 2.4GHz and 433 Mbps on 5GHz, upgrades your devices to higher AC WiFi speeds|Dual Band Wireless —— 2.4GHz and 5GHz band for flexible connectivity, upgrades your devices to work with the latest dual-band WiFi router for faster speed and extended range|Nano design —— Small, unobtrusive design allows you to plug it in and forget it is even there|Operating System —— Supports Windows 11/10/8.1/8/7/XP, Mac OS 10.15 and earlier|Advanced Security —— Supports 64/128-bit WEP, WPA/WPA2, and WPA-PSK/WPA2-PSK encryption standards|Worry-free customer support —— For other installation related query, compatibility issue or any other queries call on toll free no",What is the maximum WiFi speed of this device? 
"High Speed WiFi —— Up to 600Mbps speeds with 200Mbps on 2.4GHz and 433 Mbps on 5GHz, upgrades your devices to higher AC WiFi speeds|Dual Band Wireless —— 2.4GHz and 5GHz band for flexible connectivity, upgrades your devices to work with the latest dual-band WiFi router for faster speed and extended range|Nano design —— Small, unobtrusive design allows you to plug it in and forget it is even there|Operating System —— Supports Windows 11/10/8.1/8/7/XP, Mac OS 10.15 and earlier|Advanced Security —— Supports 64/128-bit WEP, WPA/WPA2, and WPA-PSK/WPA2-PSK encryption standards|Worry-free customer support —— For other installation related query, compatibility issue or any other queries call on toll free no",What is the maximum speed of the WiFi?
"Ultimate Wi-Fi Speed —— AC1300 (400 Mpbs on 2.4GHz band and 867 Mbps on 5GHz band) wireless speed with the next generation Wi-Fi - 802.11ac|Dual Band Wireless —— 2.4GHz and 5GHz band for flexible connectivity|Mini design —— Mini-sized design for convenient portability with a reliable high performance|Super Speed USB 3.0 Port —— Up to 10x faster transfer speeds than USB 2.0|MU-MIMO —— Delivers highly efficient wireless connection|Supported Operating System —— Windows 11/10/8.1/8/7/XP, Mac OS 10.15 and earlier",What is the maximum wireless speed offered by the AC1300?
Supports 150Mbps Wireless data transmission rate|Fully compliant with USB v2.0 High-speed mode|Advanced Security WPA/WPA2 encryption standards|IEEE 802.11 b/g/n client|Access Point mode for Hotspot|Miniature Design,What is the maximum Wireless data transmission rate supported by this device? 
Supports 150Mbps Wireless data transmission rate|Fully compliant with USB v2.0 High-speed mode|Advanced Security WPA/WPA2 encryption standards|IEEE 802.11 b/g/n client|Access Point mode for Hotspot|Miniature Design,What is the maximum wireless data transmission rate supported by this device?
"High Speed WiFi —— Up to 600Mbps speeds with 200Mbps on 2.4GHz and 433 Mbps on 5GHz, upgrades your devices to higher AC WiFi speeds|Dual Band Wireless —— 2.4GHz and 5GHz band for flexible connectivity, upgrades your devices to work with the latest dual-band WiFi router for faster speed and extended range|Nano design —— Small, unobtrusive design allows you to plug it in and forget it is even there|Operating System —— Supports Windows 11/10/8.1/8/7/XP, Mac OS 10.15 and earlier|Advanced Security —— Supports 64/128-bit WEP, WPA/WPA2, and WPA-PSK/WPA2-PSK encryption standards|Worry-free customer support —— For other installation related query, compatibility issue or any other queries call on toll free no",What is the maximum speed of the WiFi?
"High Speed WiFi —— Up to 600Mbps speeds with 200Mbps on 2.4GHz and 433 Mbps on 5GHz, upgrades your devices to higher AC WiFi speeds|Dual Band Wireless —— 2.4GHz and 5GHz band for flexible connectivity, upgrades your devices to work with the latest dual-band WiFi router for faster speed and extended range|Nano design —— Small, unobtrusive design allows you to plug it in and forget it is even there|Operating System —— Supports Windows 11/10/8.1/8/7/XP, Mac OS 10.15 and earlier|Advanced Security —— Supports 64/128-bit WEP, WPA/WPA2, and WPA-PSK/WPA2-PSK encryption standards|Worry-free customer support —— For other installation related query, compatibility issue or any other queries call on toll free no",What is the maximum speed of this WiFi adapter?
Supports 150Mbps Wireless data transmission rate|Fully compliant with USB v2.0 High-speed mode|Advanced Security WPA/WPA2 encryption standards|IEEE 802.11 b/g/n client|Access Point mode for Hotspot|Miniature Design,What is the maximum data transmission rate for this device?
"Ultimate Wi-Fi Speed —— AC1300 (400 Mpbs on 2.4GHz band and 867 Mbps on 5GHz band) wireless speed with the next generation Wi-Fi - 802.11ac|Dual Band Wireless —— 2.4GHz and 5GHz band for flexible connectivity|Mini design —— Mini-sized design for convenient portability with a reliable high performance|Super Speed USB 3.0 Port —— Up to 10x faster transfer speeds than USB 2.0|MU-MIMO —— Delivers highly efficient wireless connection|Supported Operating System —— Windows 11/10/8.1/8/7/XP, Mac OS 10.15 and earlier",What is the maximum wireless speed for this device?
"High Speed WiFi —— Up to 600Mbps speeds with 200Mbps on 2.4GHz and 433 Mbps on 5GHz, upgrades your devices to higher AC WiFi speeds|Dual Band Wireless —— 2.4GHz and 5GHz band for flexible connectivity, upgrades your devices to work with the latest dual-band WiFi router for faster speed and extended range|Nano design —— Small, unobtrusive design allows you to plug it in and forget it is even there|Operating System —— Supports Windows 11/10/8.1/8/7/XP, Mac OS 10.15 and earlier|Advanced Security —— Supports 64/128-bit WEP, WPA/WPA2, and WPA-PSK/WPA2-PSK encryption standards|Worry-free customer support —— For other installation related query, compatibility issue or any other queries call on toll free no",What is the maximum speed of this WiFi adapter?
"[NOTE - >>Not Support to DVR and HDTV]..[CONNECTIVITY]:-Allows you to connect a desktop or notebook computer Laptop to a WIFI wireless network and Mobile Internet high-speed internet connection.|>>[DRIVER ] - First You Need to Install Driver For Which We Provide Cd Driver .. [Trial Method - If product not working after install driver then put out adapter from usb port and put in again another USB Port]|Standard: IEEE 802.11g, IEEE 802.11b,IEEE 802.11b .Interfasce- USB 2.0,Radio Data Rate - 950Mbps Depends on ProcessorStandard: IEEE 802.11g, IEEE 802.11b,IEEE 802.11b .Interfasce- USB 2.0,Radio Data Rate - 950Mbps Depends on Processor|>>[Support system]: Windows- XP/ vista/ Windows 7/8/10 & Mac OS|System Requirements:600mbps Windows 10/8.1/8/7/XP,300mbpswi-fi dongle for TV PC 4G setup box dongal laptop set top under 100 Airtel wi fi antenna and dongal LED Jio windows 10 mobile Mi WiFi receiver anycast all SIM support solid free dish Mac OS X, Linux (kernel 2.6.18 ~ 4.4.3)",What is the maximum radio data rate for this device?
"High Speed WiFi —— Up to 600Mbps speeds with 200Mbps on 2.4GHz and 433 Mbps on 5GHz, upgrades your devices to higher AC WiFi speeds|Dual Band Wireless —— 2.4GHz and 5GHz band for flexible connectivity, upgrades your devices to work with the latest dual-band WiFi router for faster speed and extended range|Nano design —— Small, unobtrusive design allows you to plug it in and forget it is even there|Operating System —— Supports Windows 11/10/8.1/8/7/XP, Mac OS 10.15 and earlier|Advanced Security —— Supports 64/128-bit WEP, WPA/WPA2, and WPA-PSK/WPA2-PSK encryption standards|Worry-free customer support —— For other installation related query, compatibility issue or any other queries call on toll free no",What is the maximum speed of the WiFi?
"100cm Fast Charging Type C Cable Included|Overheat Protection|BIS Certified|Made in Ind|Universal Support. Customer care: 1800 103 6286 Available from 9 AM - 9 PM Supported Languages : English, Hindi, Tamil, Telugu, Kannada, Malayalam, Marathi, Gujarati, Bengali & Punjabi.",What type of cable is included?
22.5W Universal Fast Charging,What is the wattage of the charger?
"🎁【18W Fast Charging- Always Speedy】Two ports pump out up to 18 watts of power, enabling simultaneous fast charging for two devices. 18W Type-C output port to give the latest devices a full-speed charge.|🎁【Universal Compatibility】Support all iPhone and Android Fast Charge, Quick Charge protocols like PD3.0, QC3.0, PE2.0, etc.Support all Android fast charge protocols, QC3.0, PE2.0, Dash Charge, VOOC, etc. Perfectly fits the charging needs of iPhone 13/13 Mini/13 Pro/13 Pro Max/12/11/11 Pro/11 Pro Max/XS/XR/SE/X/8 Plus, AirPods Pro, iPad series, Galaxy S21/S20 series, Note20/Note10/S10/S9, Pixel series, Nintendo Switch, and more.|🎁【PE2.0,PD 3.0 & QC 3.0】: Equipped with a 18W Power Delivery,3.0 port, and an 18W Quick Charge 3.0 port, the charger allows for charging two devices simultaneously|🎁【Safe and Reliable】This UL-certified USB C charger With the built-in intelligent chip, the wall charger matches the current as your device needs automatically, ensure safety and protection for your devices. No matter how fast it charges, you won’t have to worry about your phone heating up at all. A combination of 6 safety features that work together to provide ultimate protection for you and your devices|🎁【 Ultra-Fast Type-C Cable Included】 Oraimo 18W fast charger adapter comes with a fast charging type-c cable, It enables full speed charging and syncing to new Type-C models in the market.",What is the maximum output of the two ports on the charger?
"With The Intelligent Chip Inside, Dual Usb Wall Charger Matches The Current As Your Device'S Need Automatically. Over-Current, Over-Voltage And Short-Circuit Protection Also Effectively Protect Your Smartphones From Damage|Internal Protection Mechanisms Offers Multiple Protection Against Short-Circuit, Over-Temperature, Over-Current, Over-Voltage And More|Robust Textured Casing And Premium Internal Components Ensure Perfect Performance|Usb Charger With Dual Ports Allow You To Charge 2 Devices At The Same Time With The Total Output Of 2.4A Current.|Power Source Type: Corded Electric",Does the wall charger have a built-in intelligence chip?
"Output Power : 10W with upto 480 mbps data transfer speed via the cable, Input port : 50 - 60 Hz|Compatible with all devices with micro USB port charging port including smart phone, bluetooth headsets, speakers, smartwatches, powerbanks. Output Current : 2 A. Customer Care: 18001036286",t is the name of the company that manufactures this product?
"🎁【18W Fast Charging- Always Speedy】Two ports pump out up to 18 watts of power, enabling simultaneous fast charging for two devices. 18W Type-C output port to give the latest devices a full-speed charge.|🎁【Universal Compatibility】Support all iPhone and Android Fast Charge, Quick Charge protocols like PD3.0, QC3.0, PE2.0, etc.Support all Android fast charge protocols, QC3.0, PE2.0, Dash Charge, VOOC, etc. Perfectly fits the charging needs of iPhone 13/13 Mini/13 Pro/13 Pro Max/12/11/11 Pro/11 Pro Max/XS/XR/SE/X/8 Plus, AirPods Pro, iPad series, Galaxy S21/S20 series, Note20/Note10/S10/S9, Pixel series, Nintendo Switch, and more.|🎁【PE2.0,PD 3.0 & QC 3.0】: Equipped with a 18W Power Delivery,3.0 port, and an 18W Quick Charge 3.0 port, the charger allows for charging two devices simultaneously|🎁【Safe and Reliable】This UL-certified USB C charger With the built-in intelligent chip, the wall charger matches the current as your device needs automatically, ensure safety and protection for your devices. No matter how fast it charges, you won’t have to worry about your phone heating up at all. A combination of 6 safety features that work together to provide ultimate protection for you and your devices|🎁【 Ultra-Fast Type-C Cable Included】 Oraimo 18W fast charger adapter comes with a fast charging type-c cable, It enables full speed charging and syncing to new Type-C models in the market.",What devices does the Oraimo 18W Fast Charger support?
"【Dual Port USB Wall Charger Adapter】Oraimo USB Charger with dual ports allow you to charge 2 devices at the same time with the total output of 2.4A current. Single port allows Max 2.4A current when connecting only one device. Much more convenient and save your time effectively.|【Safe Charging】With the intelligent chip inside, dual USB wall charger matches the current as your device's need automatically. Over-current, over-voltage and short-circuit protection also effectively protect your smartphones from damage|【Multi-Protection】 Internal protection mechanisms offers multiple Protection against short-circuit, over-temperature, over-current, over-voltage and more|【Wide Compatibility】Wall charger works for all phones with USB-A Cables - iPhone 12/12 Mini/12 Pro/12 Pro Max/11/ 11 Pro/XR/X/Xs/8/8 Plus/7Plus/7/6/6S/5, iPad Air, iPad mini, iPad Pro, Samsung Galaxy M30s/A30s/A50s/A10s/A10e/M40/A20e/A10/S10+/S10/S10e/S9/S9+/S8/S8+/Note 9/8, Google Pixel, HTC, BLU, Xiaomi, LG Q70/K30/K20/K40S/K50S/G7/G6/G5, Blackberry, Nokia, Motorola, Sony, Huawei, and any other USB outlet devices|【Durable Design】 Robust textured casing and premium internal components ensure perfect performance regardless of scrapes, bumps, or drops.",What is the maximum amount of current that the dual port USB wall charger can output?
"100cm Fast Charging Type C Cable Included|Overheat Protection|BIS Certified|Made in Ind|Universal Support. Customer care: 1800 103 6286 Available from 9 AM - 9 PM Supported Languages : English, Hindi, Tamil, Telugu, Kannada, Malayalam, Marathi, Gujarati, Bengali & Punjabi.",What is included with the purchase of this product?
"[20W HIGH-SPEED CHARGING] : The Adapto 20 is a Type-C Fast Charger, designed to charge your iPhone up to 59% in just 30 minutes!|[3X FASTER] : Fast, durable, and dependable, the adaptor is designed to charge your iOS devices 3X faster than regular chargers. The PD adaptor is best-suited with cables for Type C to Type C, and Type C to Lightning charging and connectivity. (suitable for iOS). For best results, we recommend the Portronics PD Cable..|[WIDELY COMPATIBLE] : Compatible with all PD and QC compatible devices, including iPhone 12/12 mini/12 Pro/12 Pro Max, AirPods Pro, 11-inch/12.9-inch iPad Pro, iPad Air (third generation), iPad Mini (fifth generation), AirPods Pro, etc.|[DEPENDABLE] : The adaptor’s strong, ABS Plastic built makes it safe to use even in clumsy hands. This charger with a built-in protection can protect your equipment from excessive current, overheating and overcharging.",How does the Adapto 20 compare to regular chargers?
"100cm Fast Charging Type C Cable Included|Overheat Protection|BIS Certified|Made in Ind|Universal Support. Customer care: 1800 103 6286 Available from 9 AM - 9 PM Supported Languages : English, Hindi, Tamil, Telugu, Kannada, Malayalam, Marathi, Gujarati, Bengali & Punjabi.",What does the 100cm Fast Charging Type C Cable do?
"With The Intelligent Chip Inside, Dual Usb Wall Charger Matches The Current As Your Device'S Need Automatically. Over-Current, Over-Voltage And Short-Circuit Protection Also Effectively Protect Your Smartphones From Damage|Internal Protection Mechanisms Offers Multiple Protection Against Short-Circuit, Over-Temperature, Over-Current, Over-Voltage And More|Robust Textured Casing And Premium Internal Components Ensure Perfect Performance|Usb Charger With Dual Ports Allow You To Charge 2 Devices At The Same Time With The Total Output Of 2.4A Current.|Power Source Type: Corded Electric",What is the total output current of the dual USB charger?
"With The Intelligent Chip Inside, Dual Usb Wall Charger Matches The Current As Your Device'S Need Automatically. Over-Current, Over-Voltage And Short-Circuit Protection Also Effectively Protect Your Smartphones From Damage|Internal Protection Mechanisms Offers Multiple Protection Against Short-Circuit, Over-Temperature, Over-Current, Over-Voltage And More|Robust Textured Casing And Premium Internal Components Ensure Perfect Performance|Usb Charger With Dual Ports Allow You To Charge 2 Devices At The Same Time With The Total Output Of 2.4A Current.|Power Source Type: Corded Electric",What feature of the Dual USB Wall Charger protects smartphones from damage?
"Output Power : 10W with upto 480 mbps data transfer speed via the cable, Input port : 50 - 60 Hz|Compatible with all devices with micro USB port charging port including smart phone, bluetooth headsets, speakers, smartwatches, powerbanks. Output Current : 2 A. Customer Care: 18001036286",t is the output power of the device?
"【Dual Port USB Wall Charger Adapter】Oraimo USB Charger with dual ports allow you to charge 2 devices at the same time with the total output of 2.4A current. Single port allows Max 2.4A current when connecting only one device. Much more convenient and save your time effectively.|【Safe Charging】With the intelligent chip inside, dual USB wall charger matches the current as your device's need automatically. Over-current, over-voltage and short-circuit protection also effectively protect your smartphones from damage|【Multi-Protection】 Internal protection mechanisms offers multiple Protection against short-circuit, over-temperature, over-current, over-voltage and more|【Wide Compatibility】Wall charger works for all phones with USB-A Cables - iPhone 12/12 Mini/12 Pro/12 Pro Max/11/ 11 Pro/XR/X/Xs/8/8 Plus/7Plus/7/6/6S/5, iPad Air, iPad mini, iPad Pro, Samsung Galaxy M30s/A30s/A50s/A10s/A10e/M40/A20e/A10/S10+/S10/S10e/S9/S9+/S8/S8+/Note 9/8, Google Pixel, HTC, BLU, Xiaomi, LG Q70/K30/K20/K40S/K50S/G7/G6/G5, Blackberry, Nokia, Motorola, Sony, Huawei, and any other USB outlet devices|【Durable Design】 Robust textured casing and premium internal components ensure perfect performance regardless of scrapes, bumps, or drops.",What is the total output of the USB charger?
22.5W Universal Fast Charging,What is the power output of the charger?
"Output Power : 10W with upto 480 mbps data transfer speed via the cable, Input port : 50 - 60 Hz|Compatible with all devices with micro USB port charging port including smart phone, bluetooth headsets, speakers, smartwatches, powerbanks. Output Current : 2 A. Customer Care: 18001036286",What is the output power of the device?
"Output Power : 10W with upto 480 mbps data transfer speed via the cable, Input port : 50 - 60 Hz|Compatible with all devices with micro USB port charging port including smart phone, bluetooth headsets, speakers, smartwatches, powerbanks. Output Current : 2 A. Customer Care: 18001036286",What is the output power of this device?
"[20W HIGH-SPEED CHARGING] : The Adapto 20 is a Type-C Fast Charger, designed to charge your iPhone up to 59% in just 30 minutes!|[3X FASTER] : Fast, durable, and dependable, the adaptor is designed to charge your iOS devices 3X faster than regular chargers. The PD adaptor is best-suited with cables for Type C to Type C, and Type C to Lightning charging and connectivity. (suitable for iOS). For best results, we recommend the Portronics PD Cable..|[WIDELY COMPATIBLE] : Compatible with all PD and QC compatible devices, including iPhone 12/12 mini/12 Pro/12 Pro Max, AirPods Pro, 11-inch/12.9-inch iPad Pro, iPad Air (third generation), iPad Mini (fifth generation), AirPods Pro, etc.|[DEPENDABLE] : The adaptor’s strong, ABS Plastic built makes it safe to use even in clumsy hands. This charger with a built-in protection can protect your equipment from excessive current, overheating and overcharging.",What is the Adapto 20?
LED indicator|Trendy two colours|Compatible with worldwide plugs|Ergonomic product design,What is the LED indicator for? 
"【Dual Port USB Wall Charger Adapter】Oraimo USB Charger with dual ports allow you to charge 2 devices at the same time with the total output of 2.4A current. Single port allows Max 2.4A current when connecting only one device. Much more convenient and save your time effectively.|【Safe Charging】With the intelligent chip inside, dual USB wall charger matches the current as your device's need automatically. Over-current, over-voltage and short-circuit protection also effectively protect your smartphones from damage|【Multi-Protection】 Internal protection mechanisms offers multiple Protection against short-circuit, over-temperature, over-current, over-voltage and more|【Wide Compatibility】Wall charger works for all phones with USB-A Cables - iPhone 12/12 Mini/12 Pro/12 Pro Max/11/ 11 Pro/XR/X/Xs/8/8 Plus/7Plus/7/6/6S/5, iPad Air, iPad mini, iPad Pro, Samsung Galaxy M30s/A30s/A50s/A10s/A10e/M40/A20e/A10/S10+/S10/S10e/S9/S9+/S8/S8+/Note 9/8, Google Pixel, HTC, BLU, Xiaomi, LG Q70/K30/K20/K40S/K50S/G7/G6/G5, Blackberry, Nokia, Motorola, Sony, Huawei, and any other USB outlet devices|【Durable Design】 Robust textured casing and premium internal components ensure perfect performance regardless of scrapes, bumps, or drops.",What devices is the USB wall charger compatible with?
"Output Power : 10W with upto 480 mbps data transfer speed via the cable, Input port : 50 - 60 Hz|Compatible with all devices with micro USB port charging port including smart phone, bluetooth headsets, speakers, smartwatches, powerbanks. Output Current : 2 A. Customer Care: 18001036286",hat is the output power of the device?
